,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets,emissions
2019-12-25 17:00:00+00:00,19.62,0.0006702412868632708,0.35802611367127496,5079.0,4805.1,2940.0000000000005,3.34,35.97,1.9340805874396367,58.93899139793971,24.14380681818182,3.210281306582456,0.07648812448800618
2019-12-25 18:00:00+00:00,29.37,0.0,0.3972350230414747,5452.0,5171.3,3102.5,5.62,53.17,1.9336128455977264,58.92733816946707,24.143522727272728,3.2097985481764537,0.0790560449242546
2019-12-25 19:00:00+00:00,29.61,0.0,0.363152841781874,5572.0,5327.4,3436.0999999999995,17.54,42.18,1.9331451037558152,58.91568494099443,24.14323863636364,3.2093157897704514,0.0808147447712543
2019-12-25 20:00:00+00:00,30.0,0.0,0.308352534562212,5586.0,5333.5,3727.6,27.25,32.9,1.932677361913904,58.90403171252179,24.142954545454547,3.208833031364449,0.08407265155967769
2019-12-25 21:00:00+00:00,31.0,0.0,0.3170698924731183,5524.0,5199.7,3548.4,24.89,37.35,1.9322096200719927,58.89237848404915,24.142670454545453,3.208350272958448,0.08437369629353036
2019-12-25 22:00:00+00:00,25.32,0.0,0.30017281105990784,5441.0,5018.9,3455.5999999999995,18.05,32.69,1.931741878230082,58.88072525557652,24.14238636363636,3.207867514552446,0.08249026816540252
2019-12-25 23:00:00+00:00,12.0,0.0,0.2728878648233487,5009.0,4690.0,3268.8,8.31,15.78,1.9312741363881716,58.86907202710388,24.14210227272727,3.2073847561464444,0.07721991383717264
2019-12-26 00:00:00+00:00,10.58,0.0,0.1998079877112135,4555.0,4407.4,3366.8,8.55,12.7,1.9308063945462604,58.85741879863125,24.14181818181818,3.206901997740442,0.08099975536506289
2019-12-26 01:00:00+00:00,7.99,0.0,0.15157450076804915,4219.0,4102.9,3313.4999999999995,4.56,11.59,1.9303386527043491,58.845765570158605,24.14153409090909,3.20641923933444,0.0827867403774901
2019-12-26 02:00:00+00:00,4.86,0.0,0.08557987711213517,3980.0,3907.8,3462.1000000000004,-0.65,10.89,1.9298709108624383,58.834112341685966,24.14125,3.2059364809284383,0.08507348503957385
2019-12-26 03:00:00+00:00,3.92,0.0,0.060503072196620586,3850.0,3801.1,3486.0,-8.24,17.36,1.9294031690205276,58.82245911321333,24.14096590909091,3.2054537225224364,0.08613717271593001
2019-12-26 04:00:00+00:00,5.1,0.0,0.04564132104454685,3803.0,3785.8,3548.1000000000004,-4.68,16.2,1.9289354271786163,58.81080588474069,24.140681818181815,3.204970964116434,0.08764430629455806
